fitness_max,fitness_min,fitness_prom,desv_std,tiempo_gen_seg,generacion,metodo
4.660740893561017e-05,3.9247590649667656e-05,4.445863811470527e-05,2.0192462142725263e-06,0.0006189346313476562,1,ruleta
4.757619420963343e-05,3.942207178180004e-05,4.413548080761755e-05,2.1048382909272605e-06,0.0005030632019042969,2,ruleta
4.757619420963343e-05,4.197793193590482e-05,4.5224681657185456e-05,1.3725661133410728e-06,0.0004858970642089844,3,ruleta
4.572106160160071e-05,4.197793193590482e-05,4.4502296869532756e-05,1.3366810276866023e-06,0.0004851818084716797,4,ruleta
4.670137633677073e-05,4.197793193590482e-05,4.493789025080261e-05,1.5991865814927549e-06,0.00048279762268066406,5,ruleta
4.6393289021946487e-05,4.026277934630814e-05,4.358185163106435e-05,1.8323867132333942e-06,0.0004899501800537109,6,ruleta
4.6393289021946487e-05,3.968139195841401e-05,4.451161593411267e-05,1.8514949127798098e-06,0.00048089027404785156,7,ruleta
4.832704907826749e-05,4.110029190260415e-05,4.473829133555687e-05,2.028799296326866e-06,0.0004699230194091797,8,ruleta
4.8671691840764015e-05,4.2059926707852706e-05,4.4719639288412684e-05,1.769188303863245e-06,0.00045800209045410156,9,ruleta
4.8671691840764015e-05,4.166466990057271e-05,4.509276524286875e-05,2.241838333365855e-06,0.0004658699035644531,10,ruleta
4.8671691840764015e-05,4.41977554845067e-05,4.579464547166956e-05,1.2789152082721704e-06,0.0004589557647705078,11,ruleta
4.8671691840764015e-05,4.41977554845067e-05,4.628855664604691e-05,1.4710578418808853e-06,0.0004868507385253906,12,ruleta
4.7608890389628444e-05,4.121645686135338e-05,4.544904812671615e-05,1.8234782287725146e-06,0.0004870891571044922,13,ruleta
4.7837468644069674e-05,4.18673263363408e-05,4.555424425273767e-05,1.7771648558255446e-06,0.0004658699035644531,14,ruleta
4.7837468644069674e-05,4.340172343636772e-05,4.647278252480286e-05,1.218718238833848e-06,0.0004591941833496094,15,ruleta
4.7820912957017784e-05,4.0982642038514206e-05,4.517085748847433e-05,2.117329988326716e-06,0.00045800209045410156,16,ruleta
4.7794762294685494e-05,4.374683926618057e-05,4.604422767904914e-05,1.0327240707502805e-06,0.0004589557647705078,17,ruleta
4.746247578296075e-05,4.374683926618057e-05,4.507455384511631e-05,1.1060285853504602e-06,0.0005331039428710938,18,ruleta
4.753313578777049e-05,4.2012541320333444e-05,4.5086410143166664e-05,1.4502428915548387e-06,0.00048804283142089844,19,ruleta
4.7285162612649446e-05,4.2012541320333444e-05,4.439220386917153e-05,1.779757119044046e-06,0.00047516822814941406,20,ruleta
4.7045313401034915e-05,4.071209480474582e-05,4.426814006947349e-05,1.953930165434136e-06,0.0005199909210205078,1,torneo
4.770418744788215e-05,4.5770754164144204e-05,4.6642753034583696e-05,5.523152653904677e-07,0.0004940032958984375,2,torneo
4.778989667576396e-05,4.669186027641474e-05,4.728208863009997e-05,3.769686064048897e-07,0.0005047321319580078,3,torneo
4.801872048502249e-05,4.7045313401034915e-05,4.771260796085237e-05,2.3855132558743934e-07,0.0006420612335205078,4,torneo
4.801872048502249e-05,4.7691355946743124e-05,4.7845755112956294e-05,1.1681217366760799e-07,0.0005080699920654297,5,torneo
4.8313585322412104e-05,4.750720404357267e-05,4.797417294369062e-05,1.952203481962691e-07,0.0005137920379638672,6,torneo
4.8313585322412104e-05,4.783167718897986e-05,4.8029502639157195e-05,1.0989445775172135e-07,0.0005397796630859375,7,torneo
4.8313585322412104e-05,4.801872048502249e-05,4.8107179936239376e-05,1.3512404371187345e-07,0.0005402565002441406,8,torneo
4.8313585322412104e-05,4.7718685280615e-05,4.822460883449343e-05,1.9017969871560431e-07,0.00047898292541503906,9,torneo
4.8313585322412104e-05,4.817605067482126e-05,4.829983185765302e-05,4.126039427725307e-08,0.0005369186401367188,10,torneo
4.8313585322412104e-05,4.753184712787981e-05,4.823541150295888e-05,2.345214583596882e-07,0.0005588531494140625,11,torneo
4.8313585322412104e-05,4.8313585322412104e-05,4.8313585322412104e-05,0.0,0.0005681514739990234,12,torneo
4.8313585322412104e-05,4.8313585322412104e-05,4.8313585322412104e-05,0.0,0.0005681514739990234,13,torneo
4.8313585322412104e-05,4.5996776135341554e-05,4.8081904403705046e-05,6.950427561211648e-07,0.0005950927734375,14,torneo
4.8313585322412104e-05,4.8313585322412104e-05,4.8313585322412104e-05,0.0,0.0005466938018798828,15,torneo
4.8313585322412104e-05,4.8313585322412104e-05,4.8313585322412104e-05,0.0,0.0005550384521484375,16,torneo
4.902183822909428e-05,4.8313585322412104e-05,4.8384410613080324e-05,2.124758720046529e-07,0.0006110668182373047,17,torneo
4.902183822909428e-05,4.784735231217342e-05,4.842055691627109e-05,3.899891087346563e-07,0.0005571842193603516,18,torneo
4.902183822909428e-05,4.8313585322412104e-05,4.888548123806041e-05,2.1420473420214102e-07,0.0005578994750976562,19,torneo
4.902183822909428e-05,4.902183822909428e-05,4.902183822909428e-05,0.0,0.0005409717559814453,20,torneo
4.836086902085893e-05,4.183424914037022e-05,4.5178122938722496e-05,1.9641331013368265e-06,0.0005178451538085938,1,elitismo
4.836086902085893e-05,4.175309598281467e-05,4.541826300767836e-05,2.2144669196292723e-06,0.00047588348388671875,2,elitismo
4.876405551973654e-05,4.3642060413343775e-05,4.709928337752643e-05,1.4023374856574191e-06,0.00047087669372558594,3,elitismo
4.876405551973654e-05,4.234432550067696e-05,4.70557004648329e-05,1.8963988396676895e-06,0.0004658699035644531,4,elitismo
4.876405551973654e-05,4.234432550067696e-05,4.6073564582751756e-05,2.1697558581080616e-06,0.0004658699035644531,5,elitismo
4.876405551973654e-05,4.4557526168620075e-05,4.7126289429698574e-05,1.1654181558652981e-06,0.0004649162292480469,6,elitismo
4.876405551973654e-05,4.62453595348082e-05,4.7849268730847466e-05,9.695862954699057e-07,0.0004611015319824219,7,elitismo
4.876405551973654e-05,4.4585508628424305e-05,4.729054843656163e-05,1.2342622787067672e-06,0.00048828125,8,elitismo
