metodo,mejor_fitness,tiempo_total_estimado,backlog,desbalance,tiempo_ejecucion_total_seg
ruleta,4.8671691840764015e-05,4191,435,320.7082162963712,0.008279085159301758
torneo,4.902183822909428e-05,4211,434,275.8959224055332,0.008191108703613281
elitismo,4.9401248155033316e-05,4196,433,236.77449186937346,0.008196115493774414
