metodo,mejor_fitness,mejor_x,fitness_max_final,fitness_min_final,fitness_prom_final,desv_std_final,tiempo_ejecucion_total_seg
ruleta,0.5366335052953244,786572506,0.5366335052953244,0.4962005601268022,0.5314481254877782,0.011962907246187562,0.0008540153503417969
torneo,0.8335575917690831,980319576,0.8335575917690831,0.8335575917690831,0.8335575917690831,0.0,0.0008721351623535156
elitismo,0.9506932014829809,1046935831,0.9506932014829809,0.855712287958325,0.9316678363439133,0.03660230324002191,0.0007321834564208984
