fitness_max,fitness_min,fitness_prom,desv_std,tiempo_gen_seg,generacion,metodo,n_generaciones,tam_poblacion,mejor_x_gen,mejor_cromosoma_gen,repeticion
0.9548856384320584,0.0286769451292518,0.4729041662837977,0.34017382353783465,8.273124694824219e-05,1,ruleta,20,10,1049241720,111110100010100010100001111000,1
0.9275687611013862,0.15933194764353836,0.6192832680728071,0.20104992827590462,6.413459777832031e-05,2,ruleta,20,10,1034124737,111101101000110111110111000001,1
0.691638173696898,0.36118201972834046,0.6114197476343103,0.12659906218673397,4.76837158203125e-05,3,ruleta,20,10,892975097,110101001110011011011111111001,1
0.7245037605397658,0.3383142404941247,0.6497644953490224,0.10644268461539931,4.696846008300781e-05,4,ruleta,20,10,913945275,110110011110011011001010111011,1
0.7245037605397658,0.6389768392549477,0.6885415694279986,0.02641686955223703,4.506111145019531e-05,5,ruleta,20,10,913945275,110110011110011011001010111011,1
0.724505789907362,0.6389768392549477,0.699831608004204,0.025400631664328818,5.245208740234375e-05,6,ruleta,20,10,913946555,110110011110011011011110111011,1
0.7245981259685591,0.6904183958513265,0.7088633398740367,0.015808088015322113,5.1021575927734375e-05,7,ruleta,20,10,914004793,110110011110101001101100111001,1
0.7245981259685591,0.691331471175731,0.7123504141599676,0.0137380992671593,5.1021575927734375e-05,8,ruleta,20,10,914004793,110110011110101001101100111001,1
0.7245053840336154,0.691333153088156,0.7124622192595789,0.013595223809195419,5.1021575927734375e-05,9,ruleta,20,10,913946299,110110011110011011011010111011,1
0.7245053840336154,0.691333153088156,0.7131579763789007,0.014009957657124388,5.173683166503906e-05,10,ruleta,20,10,913946299,110110011110011011011010111011,1
0.7513472094950987,0.6836117999473703,0.7138294438821388,0.020368090903087114,4.57763671875e-05,11,ruleta,20,10,930722491,110111011110011011001010111011,1
0.7245053840336154,0.6913315671964589,0.7066458809107904,0.014818383628980818,4.3392181396484375e-05,12,ruleta,20,10,913946299,110110011110011011011010111011,1
0.7245038334701146,0.6913315671964589,0.7145522750631483,0.015201174225142425,5.984306335449219e-05,13,ruleta,20,10,913945321,110110011110011011001011101001,1
0.90399637519157,0.6913315702939019,0.7430502358713202,0.055562333791533546,5.054473876953125e-05,14,ruleta,20,10,1020900025,111100110110011011001010111001,1
0.90399637519157,0.6913315702939019,0.7566493254170555,0.07431097159180695,5.054473876953125e-05,15,ruleta,20,10,1020900025,111100110110011011001010111001,1
0.9204499487602408,0.6913315702939019,0.7394739454713919,0.061082893527199915,4.696846008300781e-05,16,ruleta,20,10,1030148795,111101011001101101001010111011,1
0.9204499487602408,0.6913315702939019,0.7590685646095728,0.08124033175225547,5.1975250244140625e-05,17,ruleta,20,10,1030148795,111101011001101101001010111011,1
0.9204645881133092,0.7201334341591422,0.8024001228049145,0.09639826472473702,5.078315734863281e-05,18,ruleta,20,10,1030156987,111101011001101111001010111011,1
0.9523894279222336,0.6962247417611326,0.8166742315568609,0.0960710244971145,4.696846008300781e-05,19,ruleta,20,10,1047869387,111110011101010011011111001011,1
0.952565770062494,0.6962247417611326,0.8558595421426739,0.09027613691031271,5.054473876953125e-05,20,ruleta,20,10,1047966393,111110011101101011001010111001,1
0.9404329832069072,0.00014609616726662944,0.4037850120029969,0.27109027706992095,5.8650970458984375e-05,1,ruleta,20,10,1041271055,111110000100001000100100001111,2
0.9882476341664591,0.31754266335707704,0.5674129274997853,0.22286437757669,7.62939453125e-05,2,ruleta,20,10,1067413673,111111100111110111000010101001,2
0.9882476341664591,0.3458333851819387,0.7115881703407488,0.2522572905783562,5.1021575927734375e-05,3,ruleta,20,10,1067413673,111111100111110111000010101001,2
0.9882476341664591,0.4105508824852761,0.8274838517893892,0.20015027366073374,5.8650970458984375e-05,4,ruleta,20,10,1067413673,111111100111110111000010101001,2
0.9882476341664591,0.5640118707347844,0.8791318584573915,0.1449129716731276,4.482269287109375e-05,5,ruleta,20,10,1067413673,111111100111110111000010101001,2
