n_generaciones,metodo,mejor_fitness_promedio,mejor_fitness_max,mejor_fitness_min,tiempo_ejecucion_promedio_seg,generacion_mejor_fitness_promedio
20,elitismo,0.9897796120492172,0.9991996381645848,0.9813796966400165,0.0020302931467692056,12.0
20,ruleta,0.9767252551686757,0.9921347068693874,0.9548856384320584,0.0021181106567382812,11.666666666666666
20,torneo,0.9888475876759069,0.9994487144092771,0.9710608045309037,0.002267599105834961,17.0
100,elitismo,0.9998305509349271,0.9999999888241291,0.9995107988427334,0.008911689122517904,95.33333333333333
100,ruleta,0.8913402788584744,0.9973512755445878,0.7032954268976367,0.008914470672607422,62.333333333333336
100,torneo,0.9734894095288618,0.9999945629461998,0.9224428299582283,0.010851780573527018,90.0
200,elitismo,0.9999999584009261,0.9999999981373549,0.999999878928069,0.016719659169514973,154.33333333333334
200,ruleta,0.9982522655313613,0.9994469938003695,0.9958874113041725,0.017622709274291992,190.66666666666666
200,torneo,0.9993656827801117,0.9999845848081524,0.9983954687115016,0.020387808481852215,190.33333333333334
