n_generaciones,metodo,mejor_fitness_mean,mejor_fitness_std,mejor_x_mean,tiempo_mean,tiempo_std
20,elitismo,0.9897796138928254,0.008953661188197556,1068233423.6666666,0.0006280740102132162,4.9955567483849895e-05
20,ruleta,0.9767252569879683,0.01943922691522657,1061137537.6666666,0.000732580820719401,5.950028502348766e-05
20,torneo,0.988847589517779,0.015498180579022322,1067715679.0,0.0007293224334716797,3.5172195334777793e-05
100,elitismo,0.9998305527972565,0.0002770784716939417,1073650841.0,0.0028878053029378257,0.00020818875424715865
100,ruleta,0.891340280518725,0.1632923013758702,1010712863.3333334,0.0029543240865071616,2.2992667161767034e-05
100,torneo,0.973489411342127,0.04421853715209979,1059228803.0,0.003246943155924479,7.219215889595949e-05
200,elitismo,0.9999999602635713,6.882551348107256e-08,1073741801.6666666,0.004896004994710286,0.00028102262834068007
200,ruleta,0.9982522673907509,0.002048060783018793,1072802729.3333334,0.0057642459869384766,0.00014139729366363006
200,torneo,0.9993656846415755,0.0008508158480201735,1073401158.6666666,0.006256977717081706,7.840685363922399e-05
