n_generaciones,metodo,mejor_fitness_mean,mejor_fitness_std,mejor_x_mean,tiempo_mean,tiempo_std
20,elitismo,0.8064987122251175,0.1950005470075345,959447958.6666666,0.0017377535502115886,7.860018500788877e-05
20,ruleta,0.9285628520990237,0.030201762052535587,1034588109.3333334,0.0020362536112467446,0.0003107436883819632
20,torneo,0.8873018859623166,0.06827468727768643,1010939128.3333334,0.0022389094034830728,0.0003216872194788647
100,elitismo,0.9999885286686205,1.6669838543515467e-05,1073735665.3333334,0.007824182510375977,0.0001485898725474198
100,ruleta,0.9895334664127695,0.0063045610469280354,1068104258.0,0.008035103480021158,0.00034509673471127384
100,torneo,0.9889068530109578,0.018939153859051684,1067736806.3333334,0.00977174441019694,0.0005079835752295859
200,elitismo,0.9999986464792298,2.341140547180014e-06,1073741097.3333334,0.015201965967814127,0.0006849905330839877
200,ruleta,0.9997038362492231,0.00042083745208706334,1073582794.6666666,0.016002416610717773,0.00036328076032428016
200,torneo,0.9999884020267958,1.9538955812514512e-05,1073735597.3333334,0.018164316813151043,0.00022240688159310285
