metodo,mejor_fitness,mejor_x,fitness_max_final,fitness_min_final,fitness_prom_final,desv_std_final,tiempo_ejecucion_total_seg
ruleta,0.5366335042957665,786572506,0.5366335042957665,0.4962005592025566,0.5314481244978789,0.011962907223904895,0.005928516387939453
torneo,0.8335575902164609,980319576,0.8335575902164609,0.8335575902164609,0.833557590216461,0.0,0.003449678421020508
elitismo,0.9506931997121768,1046935831,0.9506931997121768,0.8557122863644366,0.9316678346085467,0.03660230317184482,0.0033621788024902344
