configuracion,metodo,tam_poblacion,p_mutacion,mejor_fitness,mejor_x,tiempo_ejecucion_seg
"Ruleta, Pobl=20",ruleta,20,0.05,0.9993857530054134,1073412002,0.013406991958618164
"Ruleta, Pmut=0.10",ruleta,10,0.1,0.983820468723132,1065020082,0.009506940841674805
"Torneo, Pobl=20",torneo,20,0.05,0.9999999795109035,1073741813,0.017124414443969727
"Torneo, Pmut=0.10",torneo,10,0.1,0.9999999478459365,1073741796,0.01162409782409668
"Elitismo, Pobl=20",elitismo,20,0.05,0.9999999981373549,1073741823,0.014308452606201172
"Elitismo, Pmut=0.10",elitismo,10,0.1,0.9999999981373549,1073741823,0.008636474609375
"Ruleta, Pmut=0.01",ruleta,10,0.01,0.9217234625678042,1030861194,0.00880122184753418
"Elitismo, Pmut=0.01",elitismo,10,0.01,0.9843148335403404,1065287632,0.008356571197509766
