fitness_max,fitness_min,fitness_prom,desv_std,tiempo_gen_seg,generacion,metodo,n_generaciones,tam_poblacion,mejor_x_gen,mejor_cromosoma_gen
0.9255764886041095,0.0009437503388261348,0.2745486646453657,0.3078883433400893,0.00011730194091796875,1,ruleta,20,10,1033013571,111101100100101000100101000011
0.9255765029400527,0.18913680765770513,0.5453015845699893,0.24565496429384198,6.532669067382812e-05,2,ruleta,20,10,1033013579,111101100100101000100101001011
0.9255790816196412,0.19589475233103879,0.5475933164488614,0.24246065543998344,6.389617919921875e-05,3,ruleta,20,10,1033015018,111101100100101000111011101010
0.9255790816196412,0.19589467731003382,0.5475794990958576,0.24248249719514933,5.269050598144531e-05,4,ruleta,20,10,1033015018,111101100100101000111011101010
0.9260489038595975,0.5065225768444424,0.7454831496180512,0.16089536837732984,8.749961853027344e-05,5,ruleta,20,10,1033277163,111101100101101000111011101011
0.9255790816196412,0.5065225768444424,0.6615604880696162,0.1539985755074041,7.62939453125e-05,6,ruleta,20,10,1033015018,111101100100101000111011101010
0.9255790816196412,0.5065225768444424,0.7557540878407297,0.15974665353507222,5.888938903808594e-05,7,ruleta,20,10,1033015018,111101100100101000111011101010
0.9255790816196412,0.5070439785295338,0.869751847953491,0.1274997089720161,5.269050598144531e-05,8,ruleta,20,10,1033015018,111101100100101000111011101010
0.9255790816196412,0.5070439785295338,0.8832324163029416,0.1253964537762172,7.581710815429688e-05,9,ruleta,20,10,1033015018,111101100100101000111011101010
0.9255790816196412,0.8707538268156213,0.9195329007967945,0.016261048185526542,5.173683166503906e-05,10,ruleta,20,10,1033015018,111101100100101000111011101010
0.9248745744657998,0.9248740872286513,0.9248744761227135,1.944650795282898e-07,6.985664367675781e-05,11,ruleta,20,10,1032621802,111101100011001000111011101010
0.9248745744657998,0.9248740872286513,0.9248744761227135,1.944650795282898e-07,5.555152893066406e-05,12,ruleta,20,10,1032621802,111101100011001000111011101010
0.9248745744657998,0.9248740872286513,0.9248745257420848,1.4617114455495183e-07,6.413459777832031e-05,13,ruleta,20,10,1032621802,111101100011001000111011101010
0.924922324328935,0.46668287620425286,0.8790601309022446,0.13745908563850373,5.7697296142578125e-05,14,ruleta,20,10,1032648458,111101100011001111011100001010
0.9300517659635475,0.46301763964177267,0.8792112748059546,0.13873977961606102,5.793571472167969e-05,15,ruleta,20,10,1035507934,111101101110001001100011011110
0.9300517659635475,0.9248740585676466,0.9253921847037414,0.0015531937662673777,5.459785461425781e-05,16,ruleta,20,10,1035507934,111101101110001001100011011110
0.9300517659635475,0.9248740585676466,0.925909857995902,0.0020709539946018817,6.318092346191406e-05,17,ruleta,20,10,1035507934,111101101110001001100011011110
0.9305181418817727,0.9244096151546942,0.9274633502053133,0.002784219832301341,6.890296936035156e-05,18,ruleta,20,10,1035767530,111101101111001000111011101010
0.9305181418817727,0.9244096151546942,0.9269458244632265,0.002830210075885322,5.316734313964844e-05,19,ruleta,20,10,1035767530,111101101111001000111011101010
0.9305181418817727,0.9244096366450498,0.9270386780229837,0.0027520057048043924,5.054473876953125e-05,20,ruleta,20,10,1035767530,111101101111001000111011101010
0.9654310394279132,0.002263875810089148,0.3103433970518288,0.34532430922912466,0.000102996826171875,1,torneo,20,10,1055019529,111110111000100101001000001001
0.9654310394279132,0.07720154071584918,0.5840314170060755,0.2860833594500602,8.153915405273438e-05,2,torneo,20,10,1055019529,111110111000100101001000001001
0.9815251885727239,0.6321259754212046,0.8122142715829378,0.10511896972946182,8.177757263183594e-05,3,torneo,20,10,1063776996,111111011001111111001011100100
0.9817670783593175,0.8151000330242286,0.8944471129786307,0.07932356293418341,8.177757263183594e-05,4,torneo,20,10,1063908068,111111011010011111001011100100
