n_generaciones,metodo,mejor_fitness_promedio,mejor_fitness_max,mejor_fitness_min,tiempo_ejecucion_promedio_seg,generacion_mejor_fitness_promedio
20,elitismo,0.8064987122251175,0.9966583889599342,0.6069933676759329,0.0017377535502115886,17.333333333333332
20,ruleta,0.9285628520990237,0.9623248456457147,0.9041159928571376,0.0020362536112467446,6.0
20,torneo,0.8873018859623166,0.9649831433385297,0.8368143859259133,0.0022389094034830728,16.333333333333332
100,elitismo,0.9999885286686205,0.9999999962747097,0.9999694062874213,0.007824182510375977,90.33333333333333
100,ruleta,0.9895334664127695,0.9966548558552537,0.9846643951017037,0.008035103480021158,74.66666666666667
100,torneo,0.9889068530109578,0.9999684805671573,0.9670382962506472,0.00977174441019694,91.33333333333333
200,elitismo,0.9999986464792298,0.9999999981373549,0.9999959431629795,0.015201965967814127,159.66666666666666
200,ruleta,0.9997038362492231,0.9999598939267791,0.9992181343608557,0.016002416610717773,146.66666666666666
200,torneo,0.9999884020267958,0.9999998528510387,0.9999658412423185,0.018164316813151043,154.33333333333334
