fitness_max,fitness_min,fitness_prom,desv_std,tiempo_gen_seg,generacion,metodo,n_generaciones,tam_poblacion,mejor_x_gen,mejor_cromosoma_gen,repeticion
0.7843957837298176,0.04014502160545816,0.29232743574649306,0.25973951025726,7.581710815429688e-05,1,ruleta,20,10,950971486,111000101011101010110001011110,1
0.7843957837298176,0.36050197101685016,0.7388586468964307,0.12617343827980476,7.319450378417969e-05,2,ruleta,20,10,950971486,111000101011101010110001011110,1
0.7908922176248643,0.7764158257849912,0.7810164941255779,0.004761373933118722,4.57763671875e-05,3,ruleta,20,10,954901380,111000111010101010001110000100,1
0.7908922176248643,0.7764158257849912,0.781641615644449,0.0056662055250698475,4.2438507080078125e-05,4,ruleta,20,10,954901380,111000111010101010001110000100,1
0.790895971235298,0.7764158257849912,0.7816712574400853,0.004687325642012276,4.935264587402344e-05,5,ruleta,20,10,954903646,111000111010101010110001011110,1
0.7843962852303565,0.776395237959347,0.7796613194128608,0.0038645715695789945,4.220008850097656e-05,6,ruleta,20,10,950971790,111000101011101010110110001110,1
0.7843962687336257,0.7765249241518575,0.7788860363072687,0.0034153328007752518,5.078315734863281e-05,7,ruleta,20,10,950971780,111000101011101010110110000100,1
0.9041159928571376,0.7765238736721853,0.7924185258219926,0.037395193995191575,4.9114227294921875e-05,8,ruleta,20,10,1020967566,111100110110101011101010001110,1
0.7843975356830564,0.7765236635763362,0.7819699042043367,0.003357919054043795,4.124641418457031e-05,9,ruleta,20,10,950972548,111000101011101011000010000100,1
0.7843977468413943,0.7765232433847231,0.7819596831310195,0.0033757006350317153,4.172325134277344e-05,10,ruleta,20,10,950972676,111000101011101011000100000100,1
0.7844163288864312,0.7765232433847231,0.7825507677398933,0.002831971996506779,4.00543212890625e-05,11,ruleta,20,10,950983940,111000101011101101110100000100,1
0.7843975356830564,0.7774866210450568,0.7829690986246882,0.0019079108433565843,4.029273986816406e-05,12,ruleta,20,10,950972548,111000101011101011000010000100,1
0.7843960575754867,0.7762749300293255,0.7822804008933346,0.0027643387990267123,4.076957702636719e-05,13,ruleta,20,10,950971652,111000101011101010110100000100,1
0.7843960575754867,0.7762749300293255,0.7829702469540584,0.0023047673007407566,4.029273986816406e-05,14,ruleta,20,10,950971652,111000101011101010110100000100,1
0.7843960575754867,0.7762749300293255,0.7830925023688756,0.0023445931188185603,4.601478576660156e-05,15,ruleta,20,10,950971652,111000101011101010110100000100,1
0.7843960575754867,0.7831680470046937,0.7837822044039127,0.0006116626101098975,4.1484832763671875e-05,16,ruleta,20,10,950971652,111000101011101010110100000100,1
0.784402814650031,0.7831612688765972,0.7837820472855479,0.0006147001878179574,7.009506225585938e-05,17,ruleta,20,10,950975748,111000101011101011110100000100,1
0.7843960575754867,0.7831612688765972,0.7834109349663483,0.0004917298671274775,5.698204040527344e-05,18,ruleta,20,10,950971652,111000101011101010110100000100,1
0.7843960839702525,0.7831612688765972,0.783410935232271,0.0004925770613086592,6.937980651855469e-05,19,ruleta,20,10,950971668,111000101011101010110100010100,1
